Date,Confirmed,Recovered,Deceased
30-01-2020,,,
31-01-2020,0,,0
01-02-2020,0,,0
02-02-2020,1,,0
03-02-2020,1,,0
04-02-2020,0,,0
05-02-2020,0,,0
06-02-2020,0,,0
07-02-2020,0,,0
08-02-2020,0,,0
09-02-2020,0,,0
10-02-2020,0,,0
11-02-2020,0,,0
12-02-2020,0,,0
13-02-2020,0,,0
14-02-2020,0,,0
15-02-2020,0,,0
16-02-2020,0,,0
17-02-2020,0,,0
18-02-2020,0,,0
19-02-2020,0,,0
20-02-2020,0,,0
21-02-2020,0,,0
22-02-2020,0,,0
23-02-2020,0,,0
24-02-2020,0,,0
25-02-2020,0,,0
26-02-2020,0,,0
27-02-2020,0,,0
28-02-2020,0,,0
29-02-2020,0,,0
01-03-2020,0,,0
02-03-2020,0,,0
03-03-2020,0,,0
04-03-2020,0,,0
05-03-2020,0,,0
06-03-2020,0,,0
07-03-2020,0,,0
08-03-2020,0,,0
09-03-2020,6,,0
10-03-2020,8,,0
11-03-2020,0,,0
12-03-2020,2,,0
13-03-2020,3,,0
14-03-2020,0,,0
15-03-2020,2,,0
16-03-2020,3,,0
17-03-2020,0,,0
18-03-2020,0,,0
19-03-2020,1,,0
20-03-2020,12,,0
21-03-2020,12,,0
22-03-2020,15,,0
23-03-2020,28,,0
24-03-2020,14,,0
25-03-2020,9,,0
26-03-2020,19,,0
27-03-2020,39,3,0
28-03-2020,6,8,1
29-03-2020,20,4,0
30-03-2020,32,0,0
31-03-2020,7,4,1
01-04-2020,24,2,0
02-04-2020,21,2,0
03-04-2020,9,14,0
04-04-2020,11,8,0
05-04-2020,8,6,0
06-04-2020,13,3,0
07-04-2020,8,12,0
08-04-2020,9,13,0
09-04-2020,12,13,0
10-04-2020,7,27,0
11-04-2020,10,19,0
12-04-2020,2,36,0
13-04-2020,3,19,0
14-04-2020,8,13,0
15-04-2020,1,7,0
16-04-2020,7,27,0
17-04-2020,1,10,0
18-04-2020,4,2,0
19-04-2020,2,13,0
20-04-2020,6,21,0
21-04-2020,19,16,0
22-04-2020,11,1,0
23-04-2020,10,8,0
24-04-2020,3,15,1
25-04-2020,7,7,0
26-04-2020,11,4,0
27-04-2020,13,13,0
28-04-2020,4,4,0
29-04-2020,10,10,0
30-04-2020,2,14,0
01-05-2020,0,9,0
02-05-2020,2,8,0
03-05-2020,0,1,0
04-05-2020,0,61,0
05-05-2020,3,0,0
06-05-2020,0,7,0
07-05-2020,0,5,0
08-05-2020,1,10,0
09-05-2020,2,1,0
10-05-2020,7,4,0
11-05-2020,7,0,0
12-05-2020,5,0,0
13-05-2020,10,1,0
14-05-2020,26,3,0
15-05-2020,16,0,0
16-05-2020,11,4,0
17-05-2020,14,0,0
18-05-2020,29,0,0
19-05-2020,12,0,0
20-05-2020,24,5,0
21-05-2020,24,8,0
22-05-2020,42,2,1
23-05-2020,62,3,0
24-05-2020,53,5,1
25-05-2020,49,12,1
26-05-2020,67,10,0
27-05-2020,40,10,0
28-05-2020,85,3,1
29-05-2020,62,10,1
30-05-2020,58,10,1
31-05-2020,61,15,1
01-06-2020,57,18,0
02-06-2020,86,19,1
03-06-2020,82,24,0
04-06-2020,94,39,3
05-06-2020,111,22,0
06-06-2020,108,50,1
07-06-2020,107,41,0
08-06-2020,91,11,1
09-06-2020,91,34,0
10-06-2020,65,57,1
11-06-2020,83,62,1
12-06-2020,78,32,1
13-06-2020,85,46,0
14-06-2020,54,56,0
15-06-2020,82,73,1
16-06-2020,79,60,0
17-06-2020,75,90,0
18-06-2020,97,89,1
19-06-2020,118,96,0
20-06-2020,127,57,0
21-06-2020,133,93,0
22-06-2020,138,88,0
23-06-2020,141,60,1
24-06-2020,152,81,0
25-06-2020,123,53,0
26-06-2020,150,65,0
27-06-2020,195,102,0
28-06-2020,118,42,0
29-06-2020,122,79,1
30-06-2020,131,75,1
01-07-2020,151,132,1
02-07-2020,160,202,0
03-07-2020,211,201,0
04-07-2020,240,209,0
05-07-2020,225,126,0
06-07-2020,193,167,2
07-07-2020,272,113,0
08-07-2020,301,105,0
09-07-2020,339,149,0
10-07-2020,416,112,0
11-07-2020,488,143,2
12-07-2020,435,132,2
13-07-2020,449,162,2
14-07-2020,608,181,1
15-07-2020,623,196,1
16-07-2020,722,228,2
17-07-2020,791,133,1
18-07-2020,593,204,2
19-07-2020,821,172,2
20-07-2020,794,245,1
21-07-2020,720,274,1
22-07-2020,1038,272,1
23-07-2020,1078,432,5
24-07-2020,885,968,4
25-07-2020,1103,1049,5
26-07-2020,927,689,2
27-07-2020,702,745,2
28-07-2020,1167,679,4
29-07-2020,903,645,1
30-07-2020,506,790,2
31-07-2020,1310,864,3
01-08-2020,1129,752,8
02-08-2020,1169,688,1
03-08-2020,962,815,2
04-08-2020,1083,1021,3
05-08-2020,1195,1234,7
06-08-2020,1298,800,3
07-08-2020,1251,814,5
08-08-2020,1420,1715,4
09-08-2020,1211,970,2
10-08-2020,1184,784,7
11-08-2020,1417,1426,5
12-08-2020,1212,880,6
13-08-2020,1564,766,3
14-08-2020,1569,1304,10
15-08-2020,1608,803,7
16-08-2020,1530,1099,10
17-08-2020,1725,1131,13
18-08-2020,1758,1365,6
19-08-2020,2333,1217,7
20-08-2020,1968,1217,9
21-08-2020,1983,1419,12
22-08-2020,2172,1292,15
23-08-2020,1908,1110,5
24-08-2020,1242,1238,11
25-08-2020,2375,1456,10
26-08-2020,2476,1351,13
27-08-2020,2406,2067,10
28-08-2020,2543,2097,7
29-08-2020,2397,2225,6
30-08-2020,2154,1766,7
31-08-2020,1530,1693,7
01-09-2020,1140,2111,4
02-09-2020,1547,2129,7
03-09-2020,1553,1950,10
04-09-2020,2479,2716,11
05-09-2020,2655,2111,11
06-09-2020,3082,2196,10
07-09-2020,1648,2246,12
08-09-2020,3026,1862,13
09-09-2020,3402,2058,12
10-09-2020,3349,1657,12
11-09-2020,2988,1326,14
12-09-2020,2885,1944,15
13-09-2020,3139,1855,14
14-09-2020,2540,2110,15
15-09-2020,3215,2532,12
16-09-2020,3830,2263,14
17-09-2020,4351,2737,9
18-09-2020,4167,2744,12
19-09-2020,4644,2862,18
20-09-2020,4696,2751,16
21-09-2020,2910,3026,18
22-09-2020,4125,3007,19
23-09-2020,5376,2951,20
24-09-2020,6324,3168,21
25-09-2020,6477,3481,22
26-09-2020,7006,3199,21
27-09-2020,7445,3391,21
28-09-2020,4538,3347,20
29-09-2020,7354,3420,22
30-09-2020,8830,3536,23
01-10-2020,8135,2828,29
02-10-2020,9258,4092,20
03-10-2020,7834,4476,22
04-10-2020,8553,4851,23
05-10-2020,5042,4640,23
06-10-2020,7871,4981,25
07-10-2020,10606,6161,22
08-10-2020,5445,7003,24
09-10-2020,9250,8048,25
10-10-2020,11755,7570,23
11-10-2020,9347,8924,25
12-10-2020,5930,7836,22
13-10-2020,8764,7723,21
14-10-2020,6244,7792,20
15-10-2020,7789,7082,23
16-10-2020,7283,6767,24
17-10-2020,9016,7991,26
18-10-2020,7631,8410,22
19-10-2020,5022,7469,21
20-10-2020,6591,7375,24
21-10-2020,8369,6839,26
22-10-2020,7482,7593,23
23-10-2020,8511,6118,26
24-10-2020,8253,6468,25
25-10-2020,6843,7649,26
26-10-2020,4287,7107,20
27-10-2020,5457,7015,24
28-10-2020,8790,7660,27
29-10-2020,7020,8474,26
30-10-2020,6638,7828,28
31-10-2020,7983,7330,27
01-11-2020,7025,8511,28
02-11-2020,4138,7108,21
03-11-2020,6862,8802,26
04-11-2020,8516,8206,28
05-11-2020,6820,7699,26
06-11-2020,7002,7854,27
07-11-2020,7201,7120,28
08-11-2020,5440,6853,24
09-11-2020,3593,5983,22
10-11-2020,6010,6698,28
11-11-2020,7007,7252,29
12-11-2020,5537,6119,25
13-11-2020,5804,6201,26
14-11-2020,6357,6793,26
15-11-2020,4581,6684,21
16-11-2020,2710,6567,19
17-11-2020,5792,6620,27
18-11-2020,6419,7066,28
19-11-2020,5722,6860,26
20-11-2020,6028,6398,28
21-11-2020,5772,6719,25
22-11-2020,5254,6227,27
23-11-2020,3757,5425,22
24-11-2020,5420,5149,24
25-11-2020,6491,5770,26
26-11-2020,5378,5970,27
27-11-2020,3966,4544,23
28-11-2020,6250,5275,25
29-11-2020,5643,5861,27
30-11-2020,3382,6055,21
01-12-2020,5375,6151,26
02-12-2020,6316,5924,28
03-12-2020,5376,5590,31
04-12-2020,5718,5496,29
05-12-2020,5848,5820,32
06-12-2020,4777,5217,28
07-12-2020,3272,4705,23
08-12-2020,5032,4735,31
09-12-2020,4875,4647,35
10-12-2020,4470,4847,26
11-12-2020,4642,4748,29
12-12-2020,5949,5268,32
13-12-2020,4698,5258,29
14-12-2020,2707,4481,24
15-12-2020,5218,5066,33
16-12-2020,6185,5728,27
17-12-2020,4969,4970,27
18-12-2020,5456,4701,23
19-12-2020,6293,4749,29
20-12-2020,5711,4471,30
21-12-2020,3423,4494,27
22-12-2020,6049,5057,27
23-12-2020,6169,4808,22
24-12-2020,5177,4801,22
25-12-2020,5397,4506,16
26-12-2020,3527,3782,21
27-12-2020,4905,3463,25
28-12-2020,3047,4172,14
29-12-2020,5887,5029,24
30-12-2020,6268,5707,28
31-12-2020,5215,5376,30
01-01-2021,4991,5111,23
02-01-2021,5328,4985,21
03-01-2021,4600,4668,25
04-01-2021,3021,5145,19
05-01-2021,5615,4922,24
06-01-2021,6394,5110,25
07-01-2021,5051,5639,25
08-01-2021,5142,5324,23
09-01-2021,5528,5424,22
10-01-2021,4545,4659,23
11-01-2021,3110,3922,20
12-01-2021,5507,4270,25
13-01-2021,6004,5158,26
14-01-2021,5490,4337,19
15-01-2021,5624,4603,23
16-01-2021,5960,5011,27
17-01-2021,5005,4408,21
18-01-2021,3346,3921,17
19-01-2021,6186,4296,26
20-01-2021,6815,7364,18
21-01-2021,6334,6229,21
22-01-2021,6753,6108,19
23-01-2021,6960,5283,23
24-01-2021,6036,5173,20
25-01-2021,3361,5606,17
26-01-2021,6293,5290,19
27-01-2021,5659,5006,20
28-01-2021,5771,5594,19
29-01-2021,6268,6398,22
30-01-2021,6282,7032,18
31-01-2021,5266,5730,21
01-02-2021,3459,5215,17
02-02-2021,5716,5747,16
03-02-2021,6356,6380,20
04-02-2021,6102,6341,17
05-02-2021,5610,6653,19
06-02-2021,5942,6178,16
07-02-2021,6075,5948,19
08-02-2021,3742,5959,16
09-02-2021,5214,6475,19
10-02-2021,5980,5745,18
11-02-2021,5281,5692,16
12-02-2021,5397,5332,18
13-02-2021,5471,5835,16
14-02-2021,4612,4692,15
15-02-2021,2884,5073,13
16-02-2021,4937,5439,18
17-02-2021,4892,4832,16
18-02-2021,4584,5193,14
19-02-2021,4505,4854,15
20-02-2021,4650,5841,13
21-02-2021,4070,4345,15
22-02-2021,2212,5037,16
23-02-2021,4034,4823,14
24-02-2021,4106,5885,17
25-02-2021,3677,4652,14
26-02-2021,3671,4142,14
27-02-2021,3792,4650,18
28-02-2021,3254,4333,15
01-03-2021,1938,3475,13
02-03-2021,2938,3512,16
03-03-2021,2765,4031,15
04-03-2021,2616,4156,14
05-03-2021,2776,3638,16
06-03-2021,2791,3517,16
07-03-2021,2100,4039,13
08-03-2021,1412,3030,12
09-03-2021,2316,4386,16
10-03-2021,2475,4192,14
11-03-2021,2133,3753,13
12-03-2021,1780,3377,14
13-03-2021,2035,3256,12
14-03-2021,1792,3238,15
15-03-2021,1054,3463,11
16-03-2021,1970,2884,15
17-03-2021,2098,2815,13
18-03-2021,1899,2119,15
19-03-2021,1984,1965,17
20-03-2021,2078,2211,15
21-03-2021,1875,2251,13
22-03-2021,1239,1766,12
23-03-2021,1985,2172,10
24-03-2021,2456,2060,10
25-03-2021,1989,1865,12
26-03-2021,1825,1917,14
27-03-2021,2055,2084,14
28-03-2021,2216,1853,12
29-03-2021,1549,1897,11
30-03-2021,2389,1946,16
31-03-2021,2653,2039,15
01-04-2021,2798,1835,11
02-04-2021,2508,2287,14
03-04-2021,2541,1660,12
04-04-2021,2802,2173,10
05-04-2021,2357,1866,12
06-04-2021,3502,1898,14
07-04-2021,3502,1955,16
08-04-2021,4353,2205,18
09-04-2021,5063,2475,22
10-04-2021,6194,2584,17
11-04-2021,6986,2358,16
12-04-2021,5692,2474,11
13-04-2021,7515,2959,20
14-04-2021,8778,2642,22
15-04-2021,8126,2700,20
16-04-2021,10031,3792,21
17-04-2021,13835,3654,27
18-04-2021,18257,4565,25
19-04-2021,13644,4305,21
20-04-2021,19577,3880,28
21-04-2021,22414,5431,22
22-04-2021,26995,6370,28
23-04-2021,28447,5663,27
24-04-2021,26685,7067,25
25-04-2021,28469,8122,30
26-04-2021,21890,7943,28
27-04-2021,32819,18413,32
28-04-2021,35013,15505,41
29-04-2021,38607,21116,48
30-04-2021,37199,17500,49
01-05-2021,35636,15493,48
02-05-2021,31959,16296,49
03-05-2021,26011,19519,45
04-05-2021,37190,26148,57
05-05-2021,41953,23106,58
06-05-2021,42464,27152,63
07-05-2021,38460,26662,54
08-05-2021,41971,27456,64
09-05-2021,35801,29318,68
10-05-2021,27487,31209,65
11-05-2021,37290,32978,79
12-05-2021,43529,34600,95
13-05-2021,39955,33733,97
14-05-2021,34694,31319,93
15-05-2021,32680,29442,96
16-05-2021,29704,34296,89
17-05-2021,21402,99651,87
18-05-2021,31337,45926,97
19-05-2021,32762,48413,112
20-05-2021,30491,44369,128
21-05-2021,29673,41032,142
22-05-2021,28514,45400,176
23-05-2021,25820,37316,188
24-05-2021,17821,36039,196
25-05-2021,29803,33397,177
26-05-2021,28798,35525,151
27-05-2021,24166,30539,181
28-05-2021,22318,26270,194
29-05-2021,23513,28100,198
30-05-2021,19894,29013,186
31-05-2021,12300,28867,174
01-06-2021,19760,24117,194
02-06-2021,19661,29708,213
03-06-2021,18853,26569,153
04-06-2021,16229,25860,135
05-06-2021,17328,24003,209
06-06-2021,14672,21429,227
07-06-2021,9313,21921,211
08-06-2021,15567,20019,124
09-06-2021,16204,20237,156
10-06-2021,14424,17994,194
11-06-2021,14233,15355,173
12-06-2021,13832,18172,171
13-06-2021,11584,17856,206
14-06-2021,7719,16743,161
15-06-2021,12246,13536,166
16-06-2021,13270,15689,147
17-06-2021,12469,13614,88
18-06-2021,11361,12147,90
19-06-2021,12443,13145,115
20-06-2021,11647,12459,112
21-06-2021,7449,13596,94
22-06-2021,12617,11730,141
23-06-2021,12787,13683,150
24-06-2021,12078,11469,136
25-06-2021,11546,11056,118
26-06-2021,12118,11124,118
27-06-2021,10905,12351,62
28-06-2021,8063,11529,110
29-06-2021,13550,10283,104
30-06-2021,13658,11808,142
